Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00240064000000000000,0.00240064000000000000,0.03578978000000000000,--,2024-06-07 12:12:32
OP,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00100000000000000000,-0.00100000000000000000,0.00000000000000000000,--,2024-06-07 12:12:32
USDT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00095675000000000000,-0.00095675000000000000,0.00000000200000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00090941000000000000,0.00090941000000000000,0.03338914000000000000,--,2024-06-07 12:12:32
ETHFI,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00205000000000000000,-0.00205000000000000000,15.34000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00931769000000000000,0.00931769000000000000,0.03247973000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00080446000000000000,0.00080446000000000000,0.02316204000000000000,--,2024-06-07 12:12:32
PORTAL,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00087000000000000000,-0.00087000000000000000,0.00000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00742663000000000000,0.00742663000000000000,0.02235758000000000000,--,2024-06-07 12:12:32
TNSR,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00600000000000000000,-0.00600000000000000000,21.97000000000000000000,--,2024-06-07 12:12:32
CHZ,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00205000000000000000,-0.00205000000000000000,207.74000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00026987000000000000,0.00026987000000000000,0.01493095000000000000,--,2024-06-07 12:12:32
